y;x;q;action
1;1;1.3421772800000007;down
1;2;1.6777216000000008;down
1;3;2.097152000000001;down
1;4;1.6777216000000008;right
1;5;2.097152000000001;right
1;6;2.621440000000001;down
2;1;1.6777216000000008;right
2;2;2.097152000000001;right
2;3;2.621440000000001;down
2;4;2.097152000000001;left
2;5;4.096000000000001;down
2;6;3.276800000000001;left
3;1;2.097152000000001;right
3;2;2.621440000000001;right
3;3;3.276800000000001;down
3;4;4.096000000000001;down
3;5;5.120000000000001;down
3;6;4.096000000000001;left
4;1;2.621440000000001;right
4;2;3.276800000000001;right
4;3;4.096000000000001;right
4;4;5.120000000000001;right
4;5;6.4;right
4;6;8.0;down
5;1;3.276800000000001;down
5;2;4.096000000000001;down
5;3;5.120000000000001;down
5;4;4.096000000000001;up
5;5;8.0;down
5;6;10.0;down
6;1;4.096000000000001;right
6;2;5.120000000000001;right
6;3;6.4;right
6;4;8.0;right
6;5;10.0;right
